Cell	CellType
D8_IVC2_E2_B1_26	A
D8_IVC2_E1_B3_89	A
D8_IVC2_E1_B4_45	A
D8_IVC2_E1_B4_49	B
D8_IVC2_E1_B4_68	A
D6_IVC0_E1_B1_51	B
D6_IVC0_E1_B1_88	B
D12_IVC6_E1_B1_4	B
D12_IVC6_E1_B1_27	B
D12_IVC6_E1_B1_28	A
D12_IVC6_E1_B1_34	A
D12_IVC6_E1_B1_51	A
D12_IVC6_E1_B1_82	A
D10_IVC4_E2_B1_16	A
D10_IVC4_E1_B1_31	B
D12_IVC6_E1_B2_13	B
D12_IVC6_E1_B2_22	A
D12_IVC6_E1_B2_35	B
D12_IVC6_E1_B2_37	B
D12_IVC6_E1_B2_64	A
D12_IVC6_E1_B2_66	A
D12_IVC6_E1_B2_67	B
D12_IVC6_E1_B2_72	B
D12_IVC6_E1_B2_73	B
D12_IVC6_E1_B2_83	B
D12_IVC6_E1_B2_91	A
D12_IVC6_E1_B2_94	B
D10_IVC4_E1_B2_16	A
D10_IVC4_E2_B2_6	A
D10_IVC4_E2_B2_19	A
D10_IVC4_E2_B2_29	B
D10_IVC4_E2_B2_40	B
D10_IVC4_E2_B2_51	B
D12_IVC7_E2_B1_20	B
D12_IVC7_E2_B1_21	B
D12_IVC7_E2_B1_43	B
D10_IVC4_E1_B4_16	B
D10_IVC4_E2_B3_41	A
D10_IVC4_E2_B3_57	A
D10_IVC4_E2_B3_81	B
D12_IVC6_E3_B3_20	A
D12_IVC6_E3_B3_24	A
D12_IVC6_E3_B3_25	A
D6_IVC1_E2_B1_3	A
D6_IVC1_E2_B1_26	B
D6_IVC1_E2_B1_31	B
D6_IVC1_E2_B1_37	B
D6_IVC1_E2_B1_55	A
D8_IVC2_E1_B1_38	B
D8_IVC2_E1_B1_61	B
D8_IVC2_E1_B1_78	B
D8_IVC2_E1_B2_13	A
D6_IVC1_E2_B3_33	B
D6_IVC1_E2_B3_53	A
D6_IVC1_E2_B3_58	B
hm_D8_IVC2_E1_B1_2	A
hm_D8_IVC2_E1_B1_3	A
