Sample	CellType
E09_B2_09	A
E09_B2_10	A
E09_B2_11	A
E09_B2_25	A
E09_B2_27	A
E09_B2_35	A
E09_B2_41	A
E09_B2_43	A
E09_B2_50	A
E09_B2_66	A
E09_B2_67	A
E09_B2_90	A
E17_B5_14	A
E17_B5_22	A
E17_B5_23	A
E17_B5_28	A
E17_B5_30	A
E17_B5_44	A
E17_B5_54	A
E17_B5_68	A
E17_B5_76	A
E17_B5_77	A
E17_B5_78	A
E17_B5_86	A
E17_B5_92	A
E17_B5_93	A
E17_B5_94	A
E19_B2_12	A
E19_B2_26	A
E19_B2_29	A
E19_B2_41	A
E19_B2_49	A
E19_B2_53	A
E19_B2_54	A
E19_B2_57	A
E19_B2_59	A
E19_B2_65	A
E19_B2_76	A
E19_B2_77	A
E19_B2_82	A
E19_B2_84	A
E19_B2_92	A
E13_B2_19	A
E13_B2_20	A
E13_B2_24	A
E13_B2_26	A
E13_B2_30	A
E13_B2_34	A
E13_B2_39	A
E13_B2_40	A
E13_B2_42	A
E13_B2_45	A
E13_B2_46	A
E13_B2_47	A
E13_B2_50	A
E13_B2_53	A
E13_B2_54	A
E13_B2_56	A
E13_B2_57	A
E13_B2_58	A
E13_B2_61	A
E13_B2_62	A
E13_B2_66	A
E13_B2_67	A
E13_B2_69	A
E13_B2_70	A
E13_B2_71	A
E13_B2_72	A
E13_B2_74	A
E13_B2_75	A
E13_B2_76	A
E13_B2_79	A
E13_B2_82	A
E13_B2_83	A
E13_B2_84	A
E13_B2_86	A
E13_B2_87	A
E13_B2_88	A
E13_B2_89	A
E13_B2_93	A
E13_B2_95	A
E15_B2_35	A
E15_B2_41	A
E15_B2_44	A
E15_B2_57	A
E15_B3_22	A
E15_B3_28	A
E15_B3_29	A
E15_B3_35	A
E15_B3_37	A
E15_B3_46	A
E17_B4_20	A
E17_B4_26	A
E17_B4_34	A
E17_B4_55	A
E17_B4_61	A
E17_B4_73	A
E19_B1_60	A
E19_B1_61	A
E19_B1_76	A
E20_B2_18	A
E20_B2_25	A
E20_B2_29	A
E20_B2_42	A
E20_B2_45	A
E13.B1pe.00005	A
E13.B1pe.00020	A
E13.B1pe.00033	A
E13.B1pe.00041	A
E13.B1pe.00057	A
E13.B1pe.00059	A
E13.B1pe.00075	A
E13.B1pe.00083	A
E13.B1pe.00092	A
E15_B1_01	A
E15_B1_03	A
E15_B1_07	A
E15_B1_08	A
E15_B1_09	A
E15_B1_11	A
E15_B1_12	A
E15_B1_13	A
E15_B1_14	A
E15_B1_16	A
E15_B1_17	A
E15_B1_18	A
E15_B1_21	A
E15_B1_22	A
E15_B1_23	A
E15_B1_24	A
E15_B1_25	A
E15_B1_28	A
E15_B1_30	A
E15_B1_31	A
E15_B1_32	A
E15_B1_33	A
E15_B1_34	A
E15_B1_35	A
E15_B1_36	A
E15_B1_37	A
E15_B1_38	A
E15_B1_39	A
E15_B1_40	A
E15_B1_41	A
E15_B1_44	A
E15_B1_45	A
E15_B1_46	A
E15_B1_47	A
E15_B1_49	A
E15_B1_50	A
E15_B1_51	A
E15_B1_53	A
E15_B1_55	A
E15_B1_56	A
E15_B1_57	A
E15_B1_58	A
E15_B1_61	A
E15_B1_63	A
E15_B1_66	A
E15_B1_68	A
E15_B1_69	A
E15_B1_70	A
E15_B1_71	A
E15_B1_75	A
E15_B1_76	A
E15_B1_77	A
E15_B1_78	A
E15_B1_81	A
E15_B1_82	A
E15_B1_83	A
E15_B1_84	A
E15_B1_85	A
E15_B1_86	A
E15_B1_87	A
E15_B1_90	A
E15_B1_91	A
E15_B1_92	A
E15_B1_93	A
E15_B1_95	A
E09_B1_18	A
E11_B2_07	A
E11_B2_08	A
E11_B2_09	A
E11_B2_15	A
E11_B2_16	A
E11_B2_20	A
E11_B2_21	A
E11_B2_24	A
E11_B2_33	A
E11_B2_37	A
E11_B2_39	A
E11_B2_42	A
E11_B2_43	A
E11_B2_48	A
E11_B2_51	A
E11_B2_52	A
E11_B2_56	A
E11_B2_58	A
E11_B2_59	A
E11_B2_63	A
E20_B1_11	A
E20_B1_13	A
E20_B1_19	A
E20_B1_22	A
E20_B1_24	A
E20_B1_31	A
E20_B1_38	A
E20_B1_42	A
E20_B1_43	A
E20_B1_45	A
E20_B1_56	A
E20_B1_61	A
E20_B1_67	A
E20_B1_69	A
E20_B1_70	A
E20_B1_71	A
E20_B1_75	A
E20_B1_91	A
E20_B1_93	A
E20_B1_95	A
E17_B5_05	A
E17_B5_11	A
E17_B5_12	A
E17_B5_18	A
E17_B5_20	A
E17_B5_27	A
E17_B5_33	A
E17_B5_34	A
E17_B5_35	B
E17_B5_36	B
E17_B5_38	B
E17_B5_42	B
E17_B5_43	B
E17_B5_52	B
E17_B5_58	B
E17_B5_60	B
E17_B5_66	B
E17_B5_74	B
E17_B5_75	B
E17_B5_84	B
E17_B5_91	B
E13_B2_22	B
E13_B2_25	B
E13_B2_27	B
E13_B2_28	B
E13_B2_29	B
E13_B2_31	B
E13_B2_37	B
E13_B2_52	B
E13_B2_55	B
E13_B2_59	B
E13_B2_77	B
E13_B2_78	B
E15_B2_20	B
E15_B2_21	B
E15_B2_27	B
E15_B2_29	B
E15_B2_31	B
E15_B2_34	B
E15_B2_43	B
E15_B2_45	B
E15_B2_46	B
E15_B2_47	B
E15_B2_60	B
E15_B2_68	B
E15_B2_73	B
E15_B2_75	B
E15_B2_76	B
E15_B2_78	B
E15_B3_03	B
E15_B3_18	B
E15_B3_21	B
E15_B3_23	B
E15_B3_43	B
E17_B4_19	B
E17_B4_39	B
E17_B4_51	B
E17_B4_56	B
E17_B4_58	B
E17_B4_72	B
E17_B4_75	B
E17_B4_79	B
E19_B1_21	B
E19_B1_22	B
E19_B1_31	B
E19_B1_36	B
E19_B1_41	B
E19_B1_42	B
E19_B1_43	B
E19_B1_50	B
E19_B1_51	B
E19_B1_52	B
E19_B1_56	B
E19_B1_57	B
E19_B1_59	B
E19_B1_62	B
E19_B1_68	B
E19_B1_71	B
E19_B1_74	B
E19_B1_75	B
E19_B1_77	B
E19_B1_89	B
E19_B1_90	B
E20_B2_19	B
E20_B2_46	B
E13.B1pe.00012	B
E13.B1pe.00044	B
E13.B1pe.00081	B
E17.B1p.00001	B
E17.B1p.00002	B
E17.B1p.00004	B
E17.B1p.00005	B
E17.B1p.00007	B
E17.B1p.00009	B
E17.B1p.00010	B
E17.B1p.00013	B
E17.B1p.00014	B
E17.B1p.00016	B
E17.B1p.00019	B
E17.B1p.00021	B
E17.B1p.00024	B
E17.B1p.00025	B
E17.B1p.00026	B
E17.B1p.00027	B
E17.B1p.00028	B
E17.B1p.00029	B
E17.B1p.00030	B
E17.B1p.00031	B
E17.B1p.00032	B
E17.B1p.00033	B
E17.B1p.00034	B
E17.B1p.00035	B
E17.B1p.00036	B
E17.B1p.00037	B
E17.B1p.00038	B
E17.B1p.00040	B
E17.B1p.00041	B
E17.B1p.00042	B
E17.B1p.00044	B
E17.B1p.00045	B
E17.B1p.00046	B
E17.B1p.00047	B
E15_B1_59	B
E15_B1_65	B
E15_B1_89	B
E15_B1_94	B
E11_B2_47	B
E11_B2_55	B
E20_B1_07	B
E20_B1_08	B
E20_B1_09	B
E20_B1_10	B
E20_B1_14	B
E20_B1_15	B
E20_B1_21	B
E20_B1_23	B
E20_B1_27	B
E20_B1_28	B
E20_B1_29	B
E20_B1_30	B
E20_B1_39	B
E20_B1_40	B
E20_B1_51	B
E20_B1_52	B
E20_B1_53	B
E20_B1_55	B
E20_B1_58	B
E20_B1_60	B
E20_B1_62	B
E20_B1_63	B
E20_B1_72	B
E20_B1_73	B
E20_B1_74	B
E20_B1_76	B
E20_B1_77	B
E20_B1_78	B
E20_B1_79	B
E20_B1_82	B
E20_B1_83	B
E20_B1_84	B
E20_B1_85	B
E20_B1_88	B
E20_B1_89	B
E20_B1_92	B
E09_B2_02	B
E09_B2_03	B
E09_B2_04	B
E09_B2_19	B
E09_B2_28	B
E09_B2_33	B
E09_B2_34	B
E09_B2_42	B
E09_B2_49	B
E09_B2_51	B
E09_B2_57	B
E09_B2_82	B
E09_B2_83	B
E09_B2_91	C
E17_B5_04	C
E17_B5_09	C
E17_B5_17	C
E17_B5_25	C
E17_B5_26	C
E17_B5_41	C
E17_B5_49	C
E17_B5_50	C
E17_B5_57	C
E17_B5_65	C
E17_B5_73	C
E17_B5_81	C
E17_B5_82	C
E17_B5_83	C
E17_B5_85	C
E17_B4_22	C
E17_B4_23	C
E17_B4_36	C
E17_B4_38	C
E17_B4_40	C
E17_B4_41	C
E17_B4_50	C
E17_B4_57	C
E17_B4_63	C
E17_B4_83	C
E19_B1_19	C
E19_B1_20	C
E19_B1_23	C
E19_B1_24	C
E19_B1_26	C
E19_B1_27	C
E19_B1_28	C
E19_B1_29	C
E19_B1_30	C
E19_B1_34	C
E19_B1_35	C
E19_B1_37	C
E19_B1_39	C
E19_B1_44	C
E19_B1_45	C
E19_B1_46	C
E19_B1_47	C
E19_B1_55	C
E19_B1_58	C
E19_B1_69	C
E19_B1_70	C
E19_B1_72	C
E19_B1_79	C
E19_B1_82	C
E19_B1_83	C
E19_B1_84	C
E19_B1_91	C
E20_B2_20	C
E20_B2_21	C
E20_B2_22	C
E20_B2_26	C
E20_B2_27	C
E20_B2_28	C
E20_B2_30	C
E20_B2_35	C
E20_B2_37	C
E20_B2_38	C
E17.B1p.00018	C
E17.B1p.00022	C
E17.B1p.00039	C
E09_B1_11	C
E09_B1_26	C
E09_B1_49	C
E09_B1_57	C
E09_B1_73	C
E09_B1_82	C
E09_B1_89	C
E11_B2_02	C
E11_B2_04	C
E11_B2_10	C
E11_B2_11	C
E11_B2_12	C
E11_B2_13	C
E11_B2_14	C
E11_B2_17	C
E11_B2_18	C
E11_B2_22	C
E11_B2_27	C
E11_B2_28	C
E11_B2_29	C
E11_B2_30	C
E11_B2_31	C
E11_B2_32	C
E11_B2_34	C
E11_B2_35	C
E11_B2_36	C
E11_B2_38	C
E11_B2_40	C
E11_B2_41	C
E11_B2_45	C
E11_B2_46	C
E11_B2_49	C
E11_B2_50	C
E11_B2_53	C
E11_B2_54	C
E11_B2_57	C
E11_B2_60	C
E11_B2_61	C
E11_B2_62	C
E11_B2_64	C
E11_B2_75	C
E20_B1_34	C
E20_B1_54	C
E20_B1_59	C
E20_B1_68	C
E20_B1_87	C
E09_B2_12	B
E09_B2_73	B
E17_B5_02	B
E17_B5_10	B
E17_B5_13	B
E17_B5_15	B
E17_B5_21	B
E17_B5_29	B
E17_B5_31	B
E17_B5_37	B
E17_B5_39	B
E17_B5_45	B
E17_B5_46	B
E17_B5_47	B
E17_B5_53	B
E17_B5_55	B
E17_B5_59	B
E17_B5_61	B
E17_B5_62	B
E17_B5_63	B
E17_B5_67	B
E17_B5_69	B
E17_B5_70	B
E13_B2_18	B
E13_B2_21	B
E13_B2_35	B
E13_B2_36	B
E13_B2_38	B
E13_B2_41	B
E13_B2_43	B
E13_B2_44	B
E13_B2_51	B
E13_B2_60	B
E13_B2_73	B
E13_B2_85	B
E13_B2_90	B
E13_B2_91	B
E13_B2_92	B
E15_B2_61	B
E15_B2_74	B
E15_B3_36	B
E17_B4_25	B
E17_B4_27	B
E17_B4_31	B
E17_B4_35	B
E17_B4_71	B
E17_B4_78	B
E17_B4_89	B
E20_B2_34	B
E20_B2_36	B
E20_B2_43	B
E20_B2_44	B
E13.B1pe.00013	B
E13.B1pe.00019	B
E13.B1pe.00026	B
E13.B1pe.00028	B
E13.B1pe.00034	B
E13.B1pe.00036	B
E13.B1pe.00042	B
E13.B1pe.00043	B
E13.B1pe.00050	B
E13.B1pe.00051	B
E13.B1pe.00052	B
E13.B1pe.00058	B
E13.B1pe.00060	B
E13.B1pe.00067	B
E13.B1pe.00068	B
E13.B1pe.00074	B
E13.B1pe.00084	B
